station_id,station_name,marathi_name,metro_line,layout,platform_layout,status,notes,transport_mode,opening_date,interchange
MM-001,Aarey,आरे,Line 7,Elevated,Side,Operational,,Metro,,
MM-002,Aarey JVLR,आरे जे.व्ही.एल.आर.,Line 3,At-grade,Side,Operational,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on SEEPZ Village",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on SEEPZ Village"
MM-003,Acharya Atre Chowk,आचार्य अत्रे चौक,Line 3,Underground,Island,Operational,,Metro,,
MM-004,Airport Road,विमानतळ रस्ता,Line 1,Elevated,Side,Operational,,Metro,,
MM-005,Akurli,आकुर्ली,Line 7,Elevated,Side,Operational,,Metro,,
MM-006,Anand Nagar,आनंद नगर,Line 2A,Elevated,Side,Operational,,Metro,,
MM-007,Andheri West,अंधेरी (पश्चिम),Line 2A,Elevated,Side,Operational,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on D N Nagar",Metro,,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on D N Nagar"
MM-008,Andheri,अंधेरी,Line 1,Elevated,Side,Operational,Transfer station to Andheri railway station,Metro,,Transfer station to Andheri railway station
MM-009,Asalpha,असल्फा,Line 1,Elevated,Side,Operational,,Metro,,
MM-010,Azad Nagar,आझाद नगर,Line 1,Elevated,Side,Operational,,Metro,,
MM-011,Bandra Colony,वांद्रे वसाहत,Line 3,Underground,Island,Operational,,Metro,,
MM-012,Bandra Kurla Complex,वांद्रे कुर्ला संकुल,Line 3,Underground,Island,Operational,"Interchange with Line 2B ""Yellow Line (Mumbai Metro)"") on Income Tax Office",Metro,,"Interchange with Line 2B ""Yellow Line (Mumbai Metro)"") on Income Tax Office"
MM-013,Bangur Nagar,बांगुर नगर,Line 2A,Elevated,Side,Operational,,Metro,,
MM-014,Borivali West,बोरीवली (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,
MM-015,Chakala (J. B. Nagar),चकाला (जे.बी. नगर),Line 1,Elevated,Side,Operational,,Metro,,
MM-016,Chembur,चेंबूर,Line 2B,Elevated,Side,Operational,Transfer station to VNP and RC Marg Junction monorail station,Metro,,Transfer station to VNP and RC Marg Junction monorail station
MM-017,Chhatrapati Shivaji Maharaj Chowk (Chembur),छत्रपती शिवाजी महाराज चौक (चेंबूर),Line 2B,Elevated,Side,Operational,,Metro,,
MM-018,Chhatrapati Shivaji Maharaj International Airport - T1,छत्रपती शिवाजी महाराज आंतरराष्ट्रीय विमानतळ - टी१,Line 3,Underground,Island,Operational,,Metro,,
MM-019,Chhatrapati Shivaji Maharaj International Airport - T2,छत्रपती शिवाजी महाराज आंतरराष्ट्रीय विमानतळ - टी२,Line 3; Line 7; Line 8,Underground,Side and island,Operational,,Metro,,
MM-020,Chhatrapati Shivaji Maharaj Terminus,छत्रपती शिवाजी महाराज टर्मिनस,Line 3; Line 11,Underground,Side and island,Operational,Transfer station to Chhatrapati Shivaji Maharaj Terminus,Metro,,Transfer station to Chhatrapati Shivaji Maharaj Terminus
MM-021,Churchgate,चर्चगेट,Line 3,Underground,Island,Operational,Transfer station to Churchgate railway station,Metro,,Transfer station to Churchgate railway station
MM-022,Cuffe Parade,कफ परेड,Line 3,Underground,Island,Operational,,Metro,,
MM-023,D N Nagar,डी.एन. नगर,Line 1,Elevated,Side,Operational,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Andheri West",Metro,,"Interchange with Line 2A ""Yellow Line (Mumbai Metro)"") on Andheri West"
MM-024,Dadar,दादर,Line 3,Underground,Island,Operational,,Metro,,
MM-025,Dahanukarwadi,डहाणूकरवाडी,Line 2A,Elevated,Side,Operational,,Metro,,
MM-026,Dahisar East,दहिसर (पूर्व),Line 2A; Line 9,Elevated,Side and island,Operational,,Metro,,
MM-027,Deonar,देवनार,Line 2B,Elevated,Side,Operational,,Metro,,
MM-028,"Deshbhakt N.G. Acharya Udyan-Diamond Garden, Chembur","देशभक्त ना.ग. आचार्य उद्यान-डायमंड गार्डन, चेंबूर",Line 2B,Elevated,Side,Operational,,Metro,,
MM-029,Devipada,देवीपाडा,Line 7,Elevated,Side,Operational,,Metro,,
MM-030,Dharavi,धारावी,Line 3,Underground,Island,Operational,,Metro,,
MM-031,Dindoshi,दिंडोशी,Line 7,Elevated,Side,Operational,,Metro,,
MM-032,Eksar,एकसर,Line 2A,Elevated,Side,Operational,,Metro,,
MM-033,Ghatkopar,घाटकोपर,Line 1,Elevated,Island,Operational,Transfer station to Ghatkopar railway station,Metro,,Transfer station to Ghatkopar railway station
MM-034,Girgaon,गिरगाव,Line 3,Underground,Island,Operational,,Metro,,
MM-035,Goregaon East,गोरेगाव (पूर्व),Line 7,Elevated,Side,Operational,,Metro,,
MM-036,Goregaon West,गोरेगाव (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,
MM-037,Grant Road,ग्रँट रोड,Line 3,Underground,Island,Operational,Transfer station to Grant Road railway station,Metro,,Transfer station to Grant Road railway station
MM-038,Gundavali,गुंदवली,Line 7,Elevated,Side,Operational,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on Western Express Highway",Metro,,"Interchange with Line 1 ""Blue Line (Mumbai Metro)"") on Western Express Highway"
MM-039,Hutatma Chowk,हुतात्मा चौक,Line 3,Underground,Island,Operational,,Metro,,
MM-040,Jagannath Shankar Sheth,जगन्नाथ शंकरशेठ,Line 3,Underground,Island,Operational,Transfer station to Mumbai Central railway station,Metro,,Transfer station to Mumbai Central railway station
MM-041,Jagruti Nagar,जागृती नगर,Line 1,Elevated,Side,Operational,,Metro,,
MM-042,Jogeshwari East,जोगेश्वरी (पूर्व),Line 7,Elevated,Side,Operational,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on JVLR Junction",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on JVLR Junction"
MM-043,Kalbadevi,काळबादेवी,Line 3,Underground,Island,Operational,,Metro,,
MM-044,Kandarpada,कांदरपाडा,Line 2A,Elevated,Side,Operational,,Metro,,
MM-045,Kandivli West,कांदिवली (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,
MM-046,Kashigaon,काशिगाव,Line 9,Elevated,Side,Operational,,Metro,,
MM-047,Kurar,कुरार,Line 7,Elevated,Side,Operational,,Metro,,
MM-048,Lower Malad,लोअर मालाड,Line 2A,Elevated,Side,Operational,,Metro,,
MM-049,Lower Oshiwara,लोअर ओशिवरा,Line 2A,Elevated,Side,Operational,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Adarsh Nagar (Mumbai)_metro_station ""Adarsh Nagar (Mumbai) metro station"")",Metro,,"Interchange with Line 6 ""Pink Line (Mumbai Metro)"") on Adarsh Nagar (Mumbai)_metro_station ""Adarsh Nagar (Mumbai) metro station"")"
MM-050,Magathane,मागाठाणे,Line 7,Elevated,Side,Operational,,Metro,,
MM-051,Mahalaxmi,महालक्ष्मी,Line 3,Underground,Island,Operational,Transfer station to Mahalaxmi railway station and Sant Gadge Maharaj Chowk monorail station,Metro,,Transfer station to Mahalaxmi railway station and Sant Gadge Maharaj Chowk monorail station
MM-052,Maharashtranagar Mandale,महाराष्ट्रनगर मंडाळे,Line 2B,Elevated,Side,Operational,,Metro,,
MM-053,Malad West,मालाड (पश्चिम),Line 2A,Elevated,Side,Operational,,Metro,,
MM-054,Mandapeshwar,मंडपेश्वर,Line 2A,Elevated,Side,Operational,,Metro,,
MM-055,Mankhurd,मानखुर्द,Line 2B; Line 8,Elevated,Side and island,Operational,Transfer station to Mankhurd railway station,Metro,,Transfer station to Mankhurd railway station
MM-056,Marol Naka,मरोळ नाका,Line 1; Line 3,Elevated; underground,Side and island,Operational,,Metro,,
MM-057,MIDC - Andheri,एम.आय.डी.सी. - अंधेरी,Line 3,Underground,Island,Operational,,Metro,,
MM-058,Miragaon,मिरागाव,Line 9,Elevated,Side,Operational,"Interchange with Line 10 ""Green Line (Mumbai Metro)"") on Shivaji Chowk (Mira Road)_metro_station ""Shivaji Chowk (Mira Road) metro station"")",Metro,,"Interchange with Line 10 ""Green Line (Mumbai Metro)"") on Shivaji Chowk (Mira Road)_metro_station ""Shivaji Chowk (Mira Road) metro station"")"
MM-059,Mogra,मोगरा,Line 7,Elevated,Side,Operational,,Metro,,
MM-060,Oshiwara,ओशिवरा,Line 2A,Elevated,Side,Operational,,Metro,,
MM-061,Ovaripada,ओवरीपाडा,Line 7,Elevated,Side,Operational,,Metro,,
MM-062,Pandurang Wadi,पांडुरंग वाडी,Line 9,Elevated,Side,Operational,,Metro,,
MM-063,Poisar,पोईसर,Line 7,Elevated,Side,Operational,,Metro,,
MM-064,Rashtriya Udyan,राष्ट्रीय उद्यान,Line 7,Elevated,Side,Operational,,Metro,,
MM-065,Sahar Road,सहार रोड,Line 3,Underground,Island,Operational,,Metro,,
MM-066,Saki Naka,साकी नाका,Line 1,Elevated,Side,Operational,,Metro,,
MM-067,Santacruz,सांताक्रुझ,Line 3,Underground,Island,Operational,Transfer station to Santacruz railway station,Metro,,Transfer station to Santacruz railway station
MM-068,Science Centre,विज्ञान केंद्र,Line 3,Underground,Island,Operational,,Metro,,
MM-069,SEEPZ,सीप्झ,Line 3,Underground,Island,Operational,,Metro,,
MM-070,Shimpoli,शिंपोली,Line 2A,Elevated,Side,Operational,,Metro,,
MM-071,Shitaladevi Mandir,शितलादेवी मंदिर,Line 3,Underground,Island,Operational,,Metro,,
MM-072,Siddhivinayak,सिद्धिविनायक,Line 3,Underground,Island,Operational,,Metro,,
MM-073,Valnai–Meeth Chowky,वळनई–मीठ चौकी,Line 2A,Elevated,Side,Operational,,Metro,,
MM-074,Versova,वर्सोवा,Line 1,Elevated,Side,Operational,,Metro,,
MM-075,Vidhan Bhavan,विधान भवन,Line 3,Underground,Island,Operational,,Metro,,
MM-076,Western Express Highway,पश्चिम द्रुतगती महामार्ग,Line 1,Elevated,Side,Operational,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Gundavali",Metro,,"Interchange with Line 7 ""Red Line (Mumbai Metro)"") on Gundavali"
MM-077,Worli,वरळी,Line 3,Underground,Island,Operational,,Metro,,
